"state"	"fips"	"county"	"mukey"	"musym"	"muname"	"cokey"	"comppct"	"slope"	"slopelenusle"	"hzdept_r"	"hzdepb_r"	"kffact"	"dbthirdbar_r"	"ph1to1h2o_r"	"wthirdbar_r"	"wfifteenbar_r"	"awc_r"	"claytotal_r"	"sandtotal_r"	"ksat_r"	"om_r"	"ll_r"	"texdesc"
"IA"	"IA169"	"Story"	"411306"	"274"	"Rolfe silt loam, 0 to 1 percent slopes"	"16195548"	"5"	"0"		"0"	"23"	".28"	"0.95"	"7"	"32.9"	"20.3"	"0.18"	"33"	"22"	"2.82"	"9"	"60"	"Clay loam"
"IA"	"IA169"	"Story"	"411306"	"274"	"Rolfe silt loam, 0 to 1 percent slopes"	"16195548"	"5"	"0"		"23"	"99"	".28"	"1.3"	"7"	"35.1"	"24.5"	"0.18"	"33"	"26"	"2.82"	"6"	"54"	"Clay loam"
"IA"	"IA169"	"Story"	"411307"	"27B"	"Terril loam, 2 to 6 percent slopes"	"16195627"	"80"	"3"	"30"	"86"	"132"	".32"	"1.4"	"6.6"	"26.6"	"11.7"	"0.18"	"20"	"50"	"9.17"	"0.75"	"32"	"Loam"
"IA"	"IA169"	"Story"	"411307"	"27B"	"Terril loam, 2 to 6 percent slopes"	"16195627"	"80"	"3"	"30"	"23"	"86"	".28"	"1.35"	"6.2"	"28.1"	"13.8"	"0.18"	"21"	"46"	"9.17"	"2.5"	"36"	"Loam"
"IA"	"IA169"	"Story"	"411307"	"27B"	"Terril loam, 2 to 6 percent slopes"	"16195627"	"80"	"3"	"30"	"132"	"200"	".32"	"1.6"	"7"	"27.6"	"13.2"	"0.18"	"21"	"44"	"9.17"	"0.25"	"31"	"Loam"
"IA"	"IA169"	"Story"	"411307"	"27B"	"Terril loam, 2 to 6 percent slopes"	"16195627"	"80"	"3"	"30"	"0"	"23"	".28"	"1.3"	"6.2"	"28.6"	"14.5"	"0.21"	"21"	"46"	"9.17"	"3.5"	"39"	"Loam"
"IA"	"IA169"	"Story"	"411307"	"27B"	"Terril loam, 2 to 6 percent slopes"	"16195628"	"7"	"8"		"140"	"200"	".32"	"1.6"	"8"	"27.6"	"13.2"	"0.18"	"21"	"44"	"9.17"	"0.25"	"31"	"Loam"
"IA"	"IA169"	"Story"	"411307"	"27B"	"Terril loam, 2 to 6 percent slopes"	"16195628"	"7"	"8"		"0"	"20"	".28"	"1.3"	"7.7"	"27.8"	"13.3"	"0.18"	"21"	"46"	"9.17"	"2.5"	"36"	"Loam"
"IA"	"IA169"	"Story"	"411307"	"27B"	"Terril loam, 2 to 6 percent slopes"	"16195628"	"7"	"8"		"20"	"140"	".37"	"1.55"	"7.8"	"27.6"	"13.2"	"0.18"	"21"	"42"	"9.17"	"0.5"	"31"	"Loam"
"IA"	"IA169"	"Story"	"411307"	"27B"	"Terril loam, 2 to 6 percent slopes"	"16195629"	"5"	"8"		"79"	"200"	".32"	"1.6"	"8"	"27.6"	"13.2"	"0.18"	"21"	"44"	"9.17"	"0.25"	"31"	"Loam"
"IA"	"IA169"	"Story"	"411307"	"27B"	"Terril loam, 2 to 6 percent slopes"	"16195629"	"5"	"8"		"15"	"33"	".28"	"1.35"	"6.2"	"29.5"	"15.8"	"0.18"	"25"	"41"	"9.17"	"2.5"	"40"	"Loam"
"IA"	"IA169"	"Story"	"411307"	"27B"	"Terril loam, 2 to 6 percent slopes"	"16195629"	"5"	"8"		"0"	"15"	".24"	"1.3"	"6.2"	"29.9"	"16.4"	"0.21"	"25"	"41"	"9.17"	"3.5"	"42"	"Loam"
"IA"	"IA169"	"Story"	"411307"	"27B"	"Terril loam, 2 to 6 percent slopes"	"16195629"	"5"	"8"		"33"	"79"	".32"	"1.4"	"6.6"	"27.8"	"13.3"	"0.18"	"23"	"43"	"9.17"	"0.75"	"35"	"Loam"
"IA"	"IA169"	"Story"	"411307"	"27B"	"Terril loam, 2 to 6 percent slopes"	"16195630"	"8"	"1"		"114"	"200"	".37"	"1.6"	"7.8"	"31"	"18.3"	"0.15"	"28"	"35"	"2.82"	"0.25"	"37"	"Clay loam"
"IA"	"IA169"	"Story"	"411307"	"27B"	"Terril loam, 2 to 6 percent slopes"	"16195630"	"8"	"1"		"0"	"25"	".28"	"1.15"	"7.4"	"32.8"	"21.7"	"0.18"	"33"	"25"	"2.82"	"7"	"56"	"Clay loam"
"IA"	"IA169"	"Story"	"411307"	"27B"	"Terril loam, 2 to 6 percent slopes"	"16195630"	"8"	"1"		"25"	"100"	".28"	"1.35"	"7.4"	"33.9"	"23.5"	"0.18"	"33"	"25"	"2.82"	"5"	"53"	"Clay loam"
"IA"	"IA169"	"Story"	"411307"	"27B"	"Terril loam, 2 to 6 percent slopes"	"16195630"	"8"	"1"		"100"	"114"	".32"	"1.4"	"7.4"	"30.7"	"17.6"	"0.17"	"28"	"35"	"2.82"	"1.5"	"41"	"Clay loam"
"IA"	"IA169"	"Story"	"411308"	"27C"	"Terril loam, 5 to 9 percent slopes"	"16195678"	"100"	"7"	"25"	"0"	"81"	".24"	"1.38"	"6.7"	"29.9"	"16.1"	"0.21"	"22"	"41.1"	"9"	"3.5"	"35"	"Loam"
"IA"	"IA169"	"Story"	"411308"	"27C"	"Terril loam, 5 to 9 percent slopes"	"16195678"	"100"	"7"	"25"	"81"	"152"	".37"	"1.58"	"7"	"28.3"	"14.2"	"0.17"	"22.5"	"39.8"	"9"	"0.5"	"30"	"Loam"
"IA"	"IA169"	"Story"	"411309"	"284"	"Flagler sandy loam, 0 to 2 percent slopes"	"16195550"	"95"	"1"	"25"	"0"	"53"	".15"	"1.53"	"6.5"	"21.3"	"12.6"	"0.13"	"15"	"65.9"	"28"	"2.5"	"20"	"Sandy loam"
"IA"	"IA169"	"Story"	"411309"	"284"	"Flagler sandy loam, 0 to 2 percent slopes"	"16195550"	"95"	"1"	"25"	"53"	"81"	".24"	"1.58"	"5.8"	"17.9"	"8.6"	"0.12"	"12.5"	"67.9"	"28"	"0.5"	"20"	"Sandy loam"
"IA"	"IA169"	"Story"	"411309"	"284"	"Flagler sandy loam, 0 to 2 percent slopes"	"16195550"	"95"	"1"	"25"	"81"	"152"	".24"	"1.68"	"6.2"	"10.3"	"3.3"	"0.03"	"5"	"79.2"	"92"	"0.25"	"7"	"Loamy sand"
"IA"	"IA169"	"Story"	"411310"	"284B"	"Flagler sandy loam, 2 to 5 percent slopes"	"16195551"	"100"	"4"	"30"	"0"	"53"	".17"	"1.53"	"6.5"	"20.7"	"11.9"	"0.13"	"15"	"65.9"	"28"	"2"	"20"	"Sandy loam"
"IA"	"IA169"	"Story"	"411310"	"284B"	"Flagler sandy loam, 2 to 5 percent slopes"	"16195551"	"100"	"4"	"30"	"53"	"81"	".24"	"1.58"	"5.8"	"17.9"	"8.6"	"0.12"	"12.5"	"67.9"	"28"	"0.5"	"20"	"Sandy loam"
"IA"	"IA169"	"Story"	"411310"	"284B"	"Flagler sandy loam, 2 to 5 percent slopes"	"16195551"	"100"	"4"	"30"	"81"	"152"	".24"	"1.68"	"6.2"	"10.4"	"3.3"	"0.03"	"5"	"79.2"	"92"	"0.25"	"7"	"Loamy sand"
"IA"	"IA169"	"Story"	"411311"	"288"	"Ottosen clay loam, 1 to 3 percent slopes"	"16195552"	"90"	"2"	"30"	"0"	"18"	".28"	"1.35"	"6"	"35.1"	"24"	"0.18"	"32"	"23"	"2.82"	"5"	"53"	"Clay loam"
"IA"	"IA169"	"Story"	"411311"	"288"	"Ottosen clay loam, 1 to 3 percent slopes"	"16195552"	"90"	"2"	"30"	"18"	"48"	".32"	"1.35"	"6"	"33.9"	"21.6"	"0.17"	"32"	"23"	"2.82"	"3"	"48"	"Clay loam"
"IA"	"IA169"	"Story"	"411311"	"288"	"Ottosen clay loam, 1 to 3 percent slopes"	"16195552"	"90"	"2"	"30"	"89"	"200"	".32"	"1.6"	"8"	"27.6"	"13.2"	"0.18"	"21"	"44"	"9.17"	"0.25"	"31"	"Loam"
"IA"	"IA169"	"Story"	"411311"	"288"	"Ottosen clay loam, 1 to 3 percent slopes"	"16195552"	"90"	"2"	"30"	"48"	"89"	".32"	"1.5"	"7"	"33.9"	"21.8"	"0.18"	"33"	"30"	"2.82"	"0.75"	"45"	"Clay loam"
"IA"	"IA169"	"Story"	"411311"	"288"	"Ottosen clay loam, 1 to 3 percent slopes"	"16195553"	"10"	"1"		"30"	"46"	".28"	"1.3"	"6.7"	"34.5"	"22.8"	"0.22"	"33"	"19"	"2.82"	"5"	"53"	"Silty clay loam"
"IA"	"IA169"	"Story"	"411311"	"288"	"Ottosen clay loam, 1 to 3 percent slopes"	"16195553"	"10"	"1"		"0"	"30"	".28"	"1.3"	"6.7"	"35.9"	"25.5"	"0.22"	"34"	"19"	"2.82"	"7"	"57"	"Silty clay loam"
"IA"	"IA169"	"Story"	"411311"	"288"	"Ottosen clay loam, 1 to 3 percent slopes"	"16195553"	"10"	"1"		"46"	"79"	".37"	"1.4"	"7.2"	"32.8"	"19.8"	"0.19"	"32"	"19"	"2.82"	"1.5"	"45"	"Silty clay loam"
"IA"	"IA169"	"Story"	"411311"	"288"	"Ottosen clay loam, 1 to 3 percent slopes"	"16195553"	"10"	"1"		"79"	"200"	".32"	"1.6"	"8"	"27.6"	"13.2"	"0.18"	"21"	"44"	"9.17"	"0.25"	"31"	"Loam"
"IA"	"IA169"	"Story"	"411312"	"34C"	"Estherville sandy loam, 2 to 6 percent slopes"	"16195706"	"8"	"4"		"0"	"30"	".15"	"1.53"	"6.5"	"20.6"	"11.2"	"0.14"	"14"	"66.8"	"28"	"1.5"	"28"	"Sandy loam"
"IA"	"IA169"	"Story"	"411312"	"34C"	"Estherville sandy loam, 2 to 6 percent slopes"	"16195706"	"8"	"4"		"30"	"61"	".24"	"1.5"	"5.8"	"18.6"	"8.9"	"0.14"	"12.5"	"67.9"	"28"	"0.75"	"25"	"Sandy loam"
"IA"	"IA169"	"Story"	"411312"	"34C"	"Estherville sandy loam, 2 to 6 percent slopes"	"16195706"	"8"	"4"		"61"	"152"	".05"	"1.65"	"6.5"	"12.3"	"5.5"	"0.03"	"7"	"91.1"	"92"	"0.25"	"19"	"Sand"
"IA"	"IA169"	"Story"	"411312"	"34C"	"Estherville sandy loam, 2 to 6 percent slopes"	"16195707"	"6"	"4"		"0"	"33"	".28"	"1.4"	"6.7"	"30.3"	"17.4"	"0.21"	"22.5"	"39.8"	"9"	"4.5"	"42"	"Loam"
"IA"	"IA169"	"Story"	"411312"	"34C"	"Estherville sandy loam, 2 to 6 percent slopes"	"16195707"	"6"	"4"		"33"	"68"	".32"	"1.43"	"6.5"	"27.1"	"13.5"	"0.17"	"24"	"39.1"	"9"	"0.75"	"35"	"Loam"
"IA"	"IA169"	"Story"	"411312"	"34C"	"Estherville sandy loam, 2 to 6 percent slopes"	"16195707"	"6"	"4"		"68"	"152"	".10"	"1.6"	"7.5"	"5.6"	"1.5"	"0.03"	"3"	"90.6"	"92"	"0.25"	"0"	"Gravelly coarse sand"
"IA"	"IA169"	"Story"	"411312"	"34C"	"Estherville sandy loam, 2 to 6 percent slopes"	"16195708"	"85"	"4"	"30"	"20"	"33"	".20"	"1.3"	"6.3"	"18.7"	"9.8"	"0.13"	"17"	"58"	"28.23"	"1"	"29"	"Sandy loam"
"IA"	"IA169"	"Story"	"411312"	"34C"	"Estherville sandy loam, 2 to 6 percent slopes"	"16195708"	"85"	"4"	"30"	"33"	"48"	".20"	"1.5"	"6.5"	"17.5"	"8.5"	"0.12"	"14"	"68"	"28.23"	"0.25"	"25"	"Sandy loam"
"IA"	"IA169"	"Story"	"411312"	"34C"	"Estherville sandy loam, 2 to 6 percent slopes"	"16195708"	"85"	"4"	"30"	"0"	"20"	".20"	"1.3"	"5.9"	"20.1"	"11.5"	"0.13"	"17"	"57"	"28.23"	"2.5"	"33"	"Sandy loam"
"IA"	"IA169"	"Story"	"411312"	"34C"	"Estherville sandy loam, 2 to 6 percent slopes"	"16195708"	"85"	"4"	"30"	"48"	"200"	".02"	"1.6"	"7.9"	"10.3"	"3.5"	"0.09"	"6"	"85"	"91.74"	"0.25"	"17"	"Gravelly loamy coarse sand"
"IA"	"IA169"	"Story"	"411312"	"34C"	"Estherville sandy loam, 2 to 6 percent slopes"	"16195709"	"1"	"1"		"0"	"20"	".24"	"1.25"	"6.9"	"32.7"	"21.1"	"0.17"	"27"	"36"	"9.17"	"7"	"51"	"Clay loam"
"IA"	"IA169"	"Story"	"411312"	"34C"	"Estherville sandy loam, 2 to 6 percent slopes"	"16195709"	"1"	"1"		"52"	"88"	".24"	"1.3"	"7.2"	"20.9"	"12.7"	"0.17"	"22"	"52"	"9.17"	"1.5"	"35"	"Sandy clay loam"
"IA"	"IA169"	"Story"	"411312"	"34C"	"Estherville sandy loam, 2 to 6 percent slopes"	"16195709"	"1"	"1"		"88"	"200"	".02"	"1.6"	"7.9"	"10.3"	"3.5"	"0.06"	"6"	"85"	"91.74"	"0.25"	"17"	"Gravelly loamy coarse sand"
"IA"	"IA169"	"Story"	"411312"	"34C"	"Estherville sandy loam, 2 to 6 percent slopes"	"16195709"	"1"	"1"		"20"	"52"	".20"	"1.25"	"7"	"31.5"	"18.9"	"0.17"	"27"	"39"	"9.17"	"5"	"47"	"Clay loam"
"IA"	"IA169"	"Story"	"411313"	"356G"	"Hayden-Storden loams, 25 to 50 percent slopes"	"16195554"	"40"	"38"		"0"	"43"	".28"	"1.4"	"7"	"29.6"	"15.6"	"0.21"	"22.5"	"39.8"	"9"	"2.7"	"35"	"Loam"
"IA"	"IA169"	"Story"	"411313"	"356G"	"Hayden-Storden loams, 25 to 50 percent slopes"	"16195554"	"40"	"38"		"43"	"152"	".37"	"1.5"	"7.9"	"27.3"	"13.6"	"0.18"	"24"	"39.1"	"9"	"0.25"	"30"	"Loam"
"IA"	"IA169"	"Story"	"411313"	"356G"	"Hayden-Storden loams, 25 to 50 percent slopes"	"16195555"	"60"	"38"	"30"	"23"	"36"	".32"	"1.5"	"6.5"	"23.6"	"15.2"	"0.21"	"17.5"	"43"	"28"	"2.5"	"25"	"Fine sandy loam"
"IA"	"IA169"	"Story"	"411313"	"356G"	"Hayden-Storden loams, 25 to 50 percent slopes"	"16195555"	"60"	"38"	"30"	"36"	"109"	".32"	"1.58"	"6.2"	"30.6"	"17.3"	"0.17"	"26.5"	"37.9"	"9"	"0.75"	"40"	"Loam"
"IA"	"IA169"	"Story"	"411313"	"356G"	"Hayden-Storden loams, 25 to 50 percent slopes"	"16195555"	"60"	"38"	"30"	"109"	"152"	".37"	"1.73"	"7.9"	"28.1"	"14.1"	"0.17"	"21"	"41.6"	"9"	"0.25"	"27.5"	"Loam"
"IA"	"IA169"	"Story"	"411313"	"356G"	"Hayden-Storden loams, 25 to 50 percent slopes"	"16195555"	"60"	"38"	"30"	"0"	"23"	".28"	"1.5"	"6.5"	"28.9"	"13.9"	"0.21"	"17.5"	"43"	"9"	"2.5"	"25"	"Loam"
"IA"	"IA169"	"Story"	"411314"	"L386"	"Cordova clay loam, Bemis moraine, 0 to 2 percent slopes"	"16195642"	"10"	"2"		"20"	"36"	".28"	"1.35"	"6.2"	"29.4"	"15.8"	"0.21"	"24"	"39"	"9.17"	"3"	"40"	"Loam"
"IA"	"IA169"	"Story"	"411314"	"L386"	"Cordova clay loam, Bemis moraine, 0 to 2 percent slopes"	"16195642"	"10"	"2"		"132"	"200"	".37"	"1.6"	"8"	"24.6"	"9.5"	"0.18"	"15"	"49"	"9.17"	"0.25"	"25"	"Loam"
"IA"	"IA169"	"Story"	"411314"	"L386"	"Cordova clay loam, Bemis moraine, 0 to 2 percent slopes"	"16195642"	"10"	"2"		"0"	"20"	".28"	"1.35"	"6.2"	"30.8"	"18.2"	"0.21"	"24"	"39"	"9.17"	"5"	"45"	"Loam"
"IA"	"IA169"	"Story"	"411314"	"L386"	"Cordova clay loam, Bemis moraine, 0 to 2 percent slopes"	"16195642"	"10"	"2"		"36"	"132"	".32"	"1.5"	"6.3"	"31.1"	"18.8"	"0.17"	"30"	"33"	"2.82"	"0.75"	"41"	"Clay loam"
"IA"	"IA169"	"Story"	"411314"	"L386"	"Cordova clay loam, Bemis moraine, 0 to 2 percent slopes"	"16195643"	"85"	"1"	"30"	"25"	"45"	".28"	"1.35"	"6.2"	"31.1"	"18.5"	"0.18"	"28"	"34.2"	"2.82"	"3"	"44"	"Clay loam"
"IA"	"IA169"	"Story"	"411314"	"L386"	"Cordova clay loam, Bemis moraine, 0 to 2 percent slopes"	"16195643"	"85"	"1"	"30"	"0"	"25"	".28"	"1.35"	"6.2"	"33"	"21.9"	"0.18"	"28"	"34.2"	"2.82"	"6"	"50"	"Clay loam"
"IA"	"IA169"	"Story"	"411314"	"L386"	"Cordova clay loam, Bemis moraine, 0 to 2 percent slopes"	"16195643"	"85"	"1"	"30"	"97"	"200"	".37"	"1.6"	"8"	"24.6"	"9.5"	"0.18"	"15"	"49"	"9.17"	"0.25"	"25"	"Loam"
"IA"	"IA169"	"Story"	"411314"	"L386"	"Cordova clay loam, Bemis moraine, 0 to 2 percent slopes"	"16195643"	"85"	"1"	"30"	"45"	"97"	".28"	"1.5"	"6.3"	"31.8"	"20"	"0.17"	"32"	"33"	"2.82"	"0.75"	"43"	"Clay loam"
"IA"	"IA169"	"Story"	"411314"	"L386"	"Cordova clay loam, Bemis moraine, 0 to 2 percent slopes"	"16195644"	"5"	"0"		"127"	"200"	".37"	"1.6"	"8"	"31"	"18.3"	"0.15"	"28"	"35"	"2.82"	"0.25"	"37"	"Clay loam"
"IA"	"IA169"	"Story"	"411314"	"L386"	"Cordova clay loam, Bemis moraine, 0 to 2 percent slopes"	"16195644"	"5"	"0"		"99"	"127"	".32"	"1.4"	"7.3"	"31.7"	"19.3"	"0.17"	"31"	"24"	"2.82"	"1.5"	"44"	"Clay loam"
"IA"	"IA169"	"Story"	"411314"	"L386"	"Cordova clay loam, Bemis moraine, 0 to 2 percent slopes"	"16195644"	"5"	"0"		"0"	"23"	".28"	"0.95"	"7"	"32.9"	"20.3"	"0.18"	"33"	"22"	"2.82"	"9"	"60"	"Clay loam"
"IA"	"IA169"	"Story"	"411314"	"L386"	"Cordova clay loam, Bemis moraine, 0 to 2 percent slopes"	"16195644"	"5"	"0"		"23"	"99"	".28"	"1.3"	"7"	"35.1"	"24.5"	"0.18"	"33"	"26"	"2.82"	"6"	"54"	"Clay loam"
"IA"	"IA169"	"Story"	"411315"	"388"	"Kossuth silty clay loam, 0 to 2 percent slopes"	"16195655"	"90"	"1"	"30"	"0"	"30"	".28"	"1.3"	"6.7"	"35.9"	"25.5"	"0.22"	"34"	"19"	"2.82"	"7"	"57"	"Silty clay loam"
"IA"	"IA169"	"Story"	"411315"	"388"	"Kossuth silty clay loam, 0 to 2 percent slopes"	"16195655"	"90"	"1"	"30"	"30"	"46"	".28"	"1.3"	"6.7"	"34.5"	"22.8"	"0.22"	"33"	"19"	"2.82"	"5"	"53"	"Silty clay loam"
"IA"	"IA169"	"Story"	"411315"	"388"	"Kossuth silty clay loam, 0 to 2 percent slopes"	"16195655"	"90"	"1"	"30"	"46"	"79"	".37"	"1.4"	"7.2"	"32.8"	"19.8"	"0.19"	"32"	"19"	"2.82"	"1.5"	"45"	"Silty clay loam"
"IA"	"IA169"	"Story"	"411315"	"388"	"Kossuth silty clay loam, 0 to 2 percent slopes"	"16195655"	"90"	"1"	"30"	"79"	"200"	".32"	"1.6"	"8"	"27.6"	"13.2"	"0.18"	"21"	"44"	"9.17"	"0.25"	"31"	"Loam"
"IA"	"IA169"	"Story"	"411315"	"388"	"Kossuth silty clay loam, 0 to 2 percent slopes"	"16195656"	"10"	"0"		"0"	"20"	".32"	"0.95"	"6.8"	"33.5"	"21"	"0.22"	"36"	"11"	"0.92"	"9"	"64"	"Silty clay loam"
"IA"	"IA169"	"Story"	"411315"	"388"	"Kossuth silty clay loam, 0 to 2 percent slopes"	"16195656"	"10"	"0"		"97"	"200"	".37"	"1.6"	"7.4"	"31.6"	"19.3"	"0.19"	"31"	"16"	"2.82"	"0.25"	"41"	"Silty clay loam"
"IA"	"IA169"	"Story"	"411315"	"388"	"Kossuth silty clay loam, 0 to 2 percent slopes"	"16195656"	"10"	"0"		"84"	"97"	".37"	"1.4"	"7.1"	"34"	"22"	"0.19"	"36"	"15"	"0.92"	"1.5"	"49"	"Silty clay loam"
"IA"	"IA169"	"Story"	"411315"	"388"	"Kossuth silty clay loam, 0 to 2 percent slopes"	"16195656"	"10"	"0"		"20"	"84"	".32"	"1.3"	"7"	"35.8"	"25.4"	"0.22"	"36"	"12"	"0.92"	"6"	"58"	"Silty clay loam"
"IA"	"IA169"	"Story"	"411317"	"41B"	"Sparta loamy fine sand, 2 to 5 percent slopes"	"16195556"	"100"	"4"	"36"	"0"	"20"	".17"	"1.3"	"6.2"	"14.5"	"5.3"	"0.11"	"6"	"87"	"92"	"1.5"	"20"	"Loamy fine sand"
"IA"	"IA169"	"Story"	"411317"	"41B"	"Sparta loamy fine sand, 2 to 5 percent slopes"	"16195556"	"100"	"4"	"36"	"20"	"38"	".24"	"1.3"	"6.2"	"13.3"	"4.3"	"0.11"	"6"	"87"	"92"	"0.75"	"18"	"Loamy fine sand"
"IA"	"IA169"	"Story"	"411317"	"41B"	"Sparta loamy fine sand, 2 to 5 percent slopes"	"16195556"	"100"	"4"	"36"	"38"	"183"	".10"	"1.5"	"5.8"	"9.4"	"3"	"0.08"	"4"	"95"	"200"	"0.25"	"16"	"Fine sand"
"IA"	"IA169"	"Story"	"411317"	"41B"	"Sparta loamy fine sand, 2 to 5 percent slopes"	"16195556"	"100"	"4"	"36"	"183"	"203"	".10"	"1.6"	"5.5"	"7.5"	"1.8"	"0.06"	"2"	"97"	"200"	"0.25"	"0"	"Fine sand"
"IA"	"IA169"	"Story"	"411318"	"41C"	"Sparta loamy fine sand, 5 to 9 percent slopes"	"16195679"	"100"	"7"	"36"	"0"	"20"	".17"	"1.3"	"6.2"	"14.5"	"5.3"	"0.11"	"6"	"87"	"92"	"1.5"	"20"	"Loamy fine sand"
"IA"	"IA169"	"Story"	"411318"	"41C"	"Sparta loamy fine sand, 5 to 9 percent slopes"	"16195679"	"100"	"7"	"36"	"20"	"38"	".24"	"1.3"	"6.2"	"13.3"	"4.3"	"0.11"	"6"	"87"	"92"	"0.75"	"18"	"Loamy fine sand"
"IA"	"IA169"	"Story"	"411318"	"41C"	"Sparta loamy fine sand, 5 to 9 percent slopes"	"16195679"	"100"	"7"	"36"	"38"	"183"	".10"	"1.5"	"5.8"	"9.4"	"3"	"0.08"	"4"	"95"	"200"	"0.25"	"16"	"Fine sand"
"IA"	"IA169"	"Story"	"411318"	"41C"	"Sparta loamy fine sand, 5 to 9 percent slopes"	"16195679"	"100"	"7"	"36"	"183"	"203"	".10"	"1.6"	"5.5"	"7.5"	"1.8"	"0.06"	"2"	"97"	"200"	"0.25"	"0"	"Fine sand"
"IA"	"IA169"	"Story"	"411319"	"41D"	"Sparta loamy fine sand, 9 to 14 percent slopes"	"16195660"	"90"	"12"	"36"	"20"	"38"	".24"	"1.3"	"6.2"	"13.3"	"4.3"	"0.11"	"6"	"87"	"92"	"0.75"	"18"	"Loamy fine sand"
"IA"	"IA169"	"Story"	"411319"	"41D"	"Sparta loamy fine sand, 9 to 14 percent slopes"	"16195660"	"90"	"12"	"36"	"0"	"20"	".17"	"1.3"	"6.2"	"14.5"	"5.3"	"0.11"	"6"	"87"	"92"	"1.5"	"20"	"Loamy fine sand"
"IA"	"IA169"	"Story"	"411319"	"41D"	"Sparta loamy fine sand, 9 to 14 percent slopes"	"16195660"	"90"	"12"	"36"	"38"	"183"	".10"	"1.5"	"5.8"	"9.4"	"3"	"0.08"	"4"	"95"	"200"	"0.25"	"16"	"Fine sand"
"IA"	"IA169"	"Story"	"411319"	"41D"	"Sparta loamy fine sand, 9 to 14 percent slopes"	"16195660"	"90"	"12"	"36"	"183"	"203"	".10"	"1.6"	"5.5"	"7.5"	"1.8"	"0.06"	"2"	"97"	"200"	"0.25"	"0"	"Fine sand"
"IA"	"IA169"	"Story"	"411320"	"485"	"Spillville loam, 0 to 2 percent slopes, occasionally flooded"	"16195557"	"10"	"1"		"132"	"152"	".24"	"1.55"	"6.7"	"20.3"	"11.4"	"0.15"	"16"	"58"	"28"	"1"	"28"	"Sandy loam"
"IA"	"IA169"	"Story"	"411320"	"485"	"Spillville loam, 0 to 2 percent slopes, occasionally flooded"	"16195557"	"10"	"1"		"0"	"20"	".28"	"1.45"	"6.7"	"36.3"	"26.4"	"0.21"	"31"	"22"	"3"	"6"	"53"	"Clay loam"
"IA"	"IA169"	"Story"	"411320"	"485"	"Spillville loam, 0 to 2 percent slopes, occasionally flooded"	"16195557"	"10"	"1"		"20"	"81"	".24"	"1.45"	"6.7"	"35"	"23.7"	"0.21"	"31"	"19"	"3"	"4.5"	"50"	"Silty clay loam"
"IA"	"IA169"	"Story"	"411320"	"485"	"Spillville loam, 0 to 2 percent slopes, occasionally flooded"	"16195557"	"10"	"1"		"81"	"102"	".28"	"1.45"	"6.7"	"35.5"	"24.7"	"0.17"	"29"	"26.7"	"3"	"5.5"	"50"	"Clay loam"
"IA"	"IA169"	"Story"	"411320"	"485"	"Spillville loam, 0 to 2 percent slopes, occasionally flooded"	"16195557"	"10"	"1"		"102"	"112"	".37"	"1.55"	"6.7"	"29"	"15.1"	"0.15"	"22"	"30"	"28"	"1.5"	"35"	"Loam"
"IA"	"IA169"	"Story"	"411320"	"485"	"Spillville loam, 0 to 2 percent slopes, occasionally flooded"	"16195557"	"10"	"1"		"112"	"132"	".37"	"1.55"	"6.5"	"29.7"	"15.5"	"0.17"	"22"	"30"	"9"	"1.5"	"35"	"Loam"
"IA"	"IA169"	"Story"	"411320"	"485"	"Spillville loam, 0 to 2 percent slopes, occasionally flooded"	"16195558"	"90"	"1"	"25"	"0"	"23"	".28"	"1.3"	"6.7"	"30.2"	"16.3"	"0.21"	"24"	"40"	"9.17"	"3.5"	"41"	"Loam"
"IA"	"IA169"	"Story"	"411320"	"485"	"Spillville loam, 0 to 2 percent slopes, occasionally flooded"	"16195558"	"90"	"1"	"25"	"23"	"112"	".28"	"1.35"	"6.7"	"29.8"	"15.7"	"0.18"	"24"	"40"	"9.17"	"2.5"	"39"	"Loam"
"IA"	"IA169"	"Story"	"411320"	"485"	"Spillville loam, 0 to 2 percent slopes, occasionally flooded"	"16195558"	"90"	"1"	"25"	"112"	"200"	".37"	"1.6"	"7"	"27.9"	"12.9"	"0.18"	"20"	"50"	"9.17"	"0.25"	"31"	"Loam"
"IA"	"IA169"	"Story"	"411325"	"506"	"Wacousta silty clay loam, 0 to 1 percent slopes"	"16195560"	"100"	"0"	"30"	"36"	"41"	".37"	"1.28"	"7.2"	"32"	"18.5"	"0.19"	"29.5"	"7"	"3"	"3"	"45"	"Silty clay loam"
"IA"	"IA169"	"Story"	"411325"	"506"	"Wacousta silty clay loam, 0 to 1 percent slopes"	"16195560"	"100"	"0"	"30"	"41"	"203"	".49"	"1.35"	"7.9"	"27.1"	"12.8"	"0.21"	"24"	"9.3"	"9"	"0.5"	"35"	"Silt loam"
"IA"	"IA169"	"Story"	"411325"	"506"	"Wacousta silty clay loam, 0 to 1 percent slopes"	"16195560"	"100"	"0"	"30"	"0"	"23"	".32"	"1.23"	"7.2"	"35.6"	"24.9"	"0.22"	"31"	"6.9"	"3"	"9"	"60"	"Silty clay loam"
"IA"	"IA169"	"Story"	"411325"	"506"	"Wacousta silty clay loam, 0 to 1 percent slopes"	"16195560"	"100"	"0"	"30"	"23"	"36"	".32"	"1.23"	"7.2"	"35"	"23.9"	"0.22"	"31"	"6.9"	"3"	"8"	"58"	"Silty clay loam"
